"experiences_offered","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","weekly_price","monthly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","availability_30","availability_60","availability_90","availability_365","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","requires_license","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","reviews_per_month"
"none","within an hour",1,0.89,"t","t","t","Roslindale","t","House","Private room",1,"1","1",1,"Real Bed",57,350,1125,100,40,1,0,1,1125,6,36,66,341,17,94,9,10,10,10,9,9,"f","f","flexible","f","f",2,0.48
"none","within a few hours",1,1,"f","t","f","Roslindale","t","Condominium","Entire home/apt",4,"1","2",2,"Real Bed",93,1000,3500,100,40,1,0,1,1125,0,0,0,0,1,100,10,10,10,10,10,10,"f","t","flexible","f","f",2,0.64
"none","within an hour",1,0.97,"f","t","t","Roslindale","t","Apartment","Entire home/apt",5,"1","2",3,"Real Bed",150,1000,3500,100,50,5,30,2,21,8,17,39,129,12,97,10,10,10,10,9,10,"f","f","moderate","f","f",1,4.93
"none","within a day",0.75,1,"f","t","t","Roslindale","t","House","Entire home/apt",2,"1.5","2",2,"Real Bed",145,950,3000,500,150,2,35,3,1125,11,14,44,319,7,91,9,9,10,9,9,9,"f","f","moderate","f","f",1,0.56
"none","within an hour",1,0.79,"f","t","f","Roslindale","t","Apartment","Private room",1,"0","1",1,"Real Bed",60,350,1100,100,100,1,0,1,365,4,34,64,339,70,96,9,10,10,10,9,10,"f","t","strict","f","f",2,1.16
"none","within a few hours",1,1,"f","t","f","Roslindale","t","House","Private room",4,"1","1",3,"Real Bed",165,750,3500,100,50,3,15,3,1125,20,50,80,349,1,100,10,10,10,10,10,10,"f","f","flexible","f","f",1,1
"none","within a few hours",1,1,"f","t","f","Roslindale","t","Condominium","Private room",2,"1","1",1,"Real Bed",75,1000,3500,100,20,1,15,1,1125,0,0,0,0,1,100,10,10,10,10,10,10,"f","t","flexible","f","f",2,0.37
"none","within a day",1,1,"t","t","t","Roslindale","t","House","Private room",1,"1","1",1,"Real Bed",49,1000,3500,100,100,1,10,5,1125,0,0,20,295,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",3,1.97090844821492
"none","within a day",1,1,"t","t","t","Roslindale","f","House","Private room",2,"1","1",1,"Real Bed",49,280,950,100,100,1,10,5,1125,0,0,0,262,4,95,9,10,10,10,9,10,"f","f","strict","f","f",3,0.29
"none","within a few hours",1,0.94,"t","t","t","Roslindale","t","Villa","Private room",1,"2.5","1",1,"Real Bed",40,250,800,100,100,1,0,2,1125,6,27,57,332,31,99,10,10,10,10,9,10,"f","f","flexible","f","f",3,1.24
"none","within an hour",1,1,"f","t","t","Roslindale","t","House","Entire home/apt",3,"1","0",2,"Real Bed",120,1000,3500,150,50,3,0,2,6,0,7,32,207,16,98,10,10,10,10,10,10,"f","t","moderate","f","f",1,5.93
"none","within an hour",1,0.79,"f","t","f","Roslindale","t","Apartment","Private room",2,"0","1",1,"Real Bed",70,420,1320,100,100,1,10,1,365,0,0,24,299,38,98,9,10,10,10,9,9,"f","t","strict","f","f",2,0.63
"none","within a day",1,0.63,"f","t","t","Roslindale","f","House","Entire home/apt",8,"1","3",5,"Real Bed",150,700,2500,150,100,6,0,3,1125,0,0,0,0,21,88,9,9,9,10,9,10,"f","f","flexible","f","f",1,1.58
"none","within an hour",1,1,"f","t","f","Roslindale","t","House","Entire home/apt",5,"3.5","4",3,"Real Bed",175,1000,2800,500,100,1,0,14,1125,0,0,0,0,1,100,10,10,10,10,10,10,"f","f","moderate","f","f",1,0.07
"none","within an hour",1,0.92,"t","t","t","Roslindale","t","House","Private room",2,"1.5","1",1,"Real Bed",95,625,3500,100,10,1,0,1,1125,0,0,0,1,40,96,10,10,10,10,9,10,"f","f","moderate","f","f",2,1.13
"none","within an hour",1,1,"f","t","f","Roslindale","t","Apartment","Private room",2,"1","1",1,"Real Bed",90,500,1500,100,100,1,0,1,1125,0,0,0,122,43,95,10,9,10,10,9,9,"f","f","strict","f","f",1,1.06
"none","within a few hours",1,1,"t","t","t","Roslindale","t","House","Private room",2,"1","1",1,"Real Bed",95,500,1600,100,15,1,0,2,1125,8,16,37,107,33,99,10,10,10,10,10,10,"f","f","moderate","f","f",1,4.02
"none","within a day",0.6,1,"f","t","t","Roslindale","t","Apartment","Private room",2,"1","1",2,"Real Bed",100,500,1500,100,100,1,100,1,30,21,51,81,356,11,90,9,8,10,9,9,9,"f","f","flexible","f","f",1,0.21
"none","within an hour",1,0.89,"t","t","t","Roslindale","t","House","Private room",2,"1","1",1,"Real Bed",67,400,1300,100,40,1,5,1,1125,0,5,35,310,20,96,10,9,10,10,9,10,"f","f","flexible","f","f",2,0.58
"none","within a few hours",0.95,1,"f","t","t","Roslindale","t","Condominium","Private room",1,"1","1",1,"Real Bed",55,1000,3500,100,100,1,0,1,4,0,0,0,129,30,92,10,9,10,10,9,9,"f","f","flexible","f","f",1,1.93
"none","within an hour",1,1,"f","t","t","Roslindale","t","Apartment","Entire home/apt",6,"1","2",2,"Real Bed",200,1000,3500,200,85,4,20,2,1125,21,48,78,353,2,100,10,10,10,10,9,10,"f","t","strict","f","f",1,0.38
"none","within an hour",1,1,"f","t","t","Roslindale","t","Apartment","Entire home/apt",4,"1","1",2,"Real Bed",150,1000,3500,100,100,1,0,1,1125,0,0,3,17,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","t","flexible","f","f",1,1.97090844821492
"none","within a day",1,1,"t","t","t","Roslindale","t","House","Private room",1,"1","1",1,"Real Bed",49,280,950,100,100,1,10,5,1125,0,20,50,325,10,98,9,9,10,10,9,10,"f","f","strict","f","f",3,0.72
"none","within a few hours",1,0.71,"f","t","f","Roslindale","t","House","Private room",1,"1.5","1",1,"Real Bed",75,490,3500,100,100,1,0,1,1125,27,57,87,362,17,96,10,10,10,10,10,10,"f","f","flexible","f","f",1,0.59
"none","within an hour",1,0.95,"f","t","t","Roslindale","t","House","Entire home/apt",4,"1","1",2,"Real Bed",110,680,2300,100,25,2,20,3,1125,7,16,25,300,55,87,9,9,10,10,9,9,"f","f","strict","f","f",1,2.36
"none","within a few hours",1,1,"f","t","f","Roslindale","f","Apartment","Private room",2,"1","1",1,"Real Bed",115,1000,3500,200,35,1,0,1,1125,19,46,76,351,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",1,1.97090844821492
"none","within an hour",0.98,0.96,"f","t","t","Roslindale","t","House","Entire home/apt",16,"1","3",5,"Real Bed",125,1000,3500,250,50,1,25,1,1125,26,51,81,351,24,91,10,10,10,10,9,9,"f","f","strict","f","f",3,2.07
"none","within an hour",0.98,0.96,"f","t","t","Roslindale","t","House","Entire home/apt",16,"2.5","3",7,"Real Bed",200,1000,3500,250,50,1,25,1,1125,18,38,68,343,82,95,10,10,10,10,10,9,"f","f","strict","f","f",3,4.32
"none","within a few hours",1,1,"t","t","t","Roslindale","t","House","Private room",2,"2","1",1,"Real Bed",75,1000,3500,100,10,1,15,1,1125,26,56,86,361,20,97,10,10,10,10,10,10,"f","f","moderate","t","t",2,0.87
"none","within a few hours",1,1,"f","t","t","Roslindale","t","House","Private room",1,"1","1",1,"Real Bed",78,510,1800,500,25,1,0,3,1125,4,34,64,339,21,95,9,9,10,10,9,9,"f","t","flexible","f","f",1,0.87
"none","within a few hours",1,1,"f","t","t","Roslindale","t","Apartment","Private room",4,"1","1",2,"Real Bed",50,1000,3500,100,10,1,0,2,15,0,0,0,0,10,96,10,10,10,10,10,10,"f","f","flexible","f","f",1,5.77
"none","within a few hours",1,0.71,"t","t","t","Roslindale","t","Apartment","Private room",1,"1","1",1,"Real Bed",60,1000,3500,100,100,1,10,1,1125,20,50,80,355,143,98,10,10,10,10,9,10,"f","f","flexible","f","f",1,4.39
"none","within a few hours",1,0.94,"t","t","t","Roslindale","t","House","Private room",1,"1.5","1",1,"Real Bed",45,300,900,100,100,1,0,2,1125,6,6,6,254,2,100,9,10,10,9,7,9,"f","f","flexible","f","f",3,0.54
"none","within a few hours",0.77,0.89,"f","t","f","Roslindale","t","House","Entire home/apt",4,"1","2",2,"Real Bed",145,882,2790,446,56,3,33,5,1125,4,8,38,306,26,92,10,10,10,10,9,9,"f","f","strict","f","f",2,0.74
"none","within an hour",1,0.83,"f","t","f","Roslindale","t","House","Private room",2,"2","1",1,"Real Bed",45,1000,3500,100,100,1,10,2,1125,2,28,53,133,5,96,10,9,10,10,9,9,"f","f","flexible","f","f",1,3.13
"none","within an hour",1,0.92,"t","t","t","Roslindale","t","House","Private room",2,"1.5","1",1,"Real Bed",85,500,1000,100,10,1,0,1,1125,0,0,0,267,29,97,10,10,10,10,9,10,"f","f","moderate","f","f",2,1.67
"none","within a few hours",1,1,"f","t","t","Roslindale","t","House","Private room",1,"1","1",1,"Real Bed",75,499,1499,200,50,1,25,3,1125,20,50,80,355,9,93,9,10,10,10,10,10,"f","f","strict","f","f",1,0.37
"none","within a few hours",1,0.91,"f","t","t","Roslindale","t","House","Private room",2,"2","1",1,"Real Bed",50,1000,3500,100,100,1,10,2,1125,11,41,71,161,14,99,10,10,10,10,9,10,"f","f","flexible","f","f",1,1.23
"none","within a few hours",1,0.94,"t","t","t","Roslindale","t","House","Private room",1,"2.5","1",1,"Real Bed",45,300,900,100,100,1,0,2,1125,0,0,0,260,8,97,10,9,10,10,9,10,"f","f","flexible","f","f",3,0.33
"none","within an hour",1,0.67,"f","t","t","Roslindale","t","House","Private room",2,"1","1",1,"Real Bed",60,1000,3500,100,100,2,50,2,5,0,0,0,248,117,92,10,10,10,10,9,9,"f","f","moderate","f","f",1,3.22
"none","within a few hours",0.9,0.94,"t","t","t","Roslindale","t","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",95,1000,3500,250,35,1,0,1,180,8,20,46,258,53,99,10,10,10,10,10,10,"f","f","strict","f","f",1,2.07
"none","within a few hours",0.77,0.89,"f","t","f","Roslindale","f","Apartment","Entire home/apt",2,"1","0",1,"Real Bed",89,837,2790,223,45,2,39,3,1125,19,43,73,348,3,100,10,10,10,10,10,10,"f","f","strict","f","f",2,0.12
"none","within an hour",1,1,"f","t","f","Roslindale","t","Apartment","Entire home/apt",3,"1","0",2,"Real Bed",110,1000,3500,100,25,1,25,2,1125,17,40,58,333,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within a few hours",1,1,"f","t","t","Roslindale","f","Condominium","Private room",2,"1","1",1,"Pull-out Sofa",65,1000,3500,100,20,1,15,1,1125,6,10,10,259,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within an hour",1,1,"f","t","t","Roslindale","t","House","Entire home/apt",7,"2","3",3,"Real Bed",285,1000,3500,500,125,5,25,3,1125,16,34,64,331,2,80,10,10,10,10,8,6,"f","f","strict","f","f",1,1.15
"none","within a day",0.5,1,"f","t","f","Jamaica Plain","t","Apartment","Entire home/apt",4,"1","1",1,"Real Bed",140,1000,4050,100,125,4,0,3,730,17,24,54,144,1,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","moderate","f","f",1,1
"none","within an hour",1,1,"f","t","f","Jamaica Plain","t","Apartment","Private room",2,"1","1",1,"Real Bed",70,350,1300,100,10,1,10,2,1125,3,23,53,328,23,93,9,8,10,10,10,9,"f","f","strict","f","f",2,0.46
"none","within a day",0.93,0.73,"f","t","t","Jamaica Plain","t","House","Private room",2,"1","1",1,"Real Bed",95,1000,3500,100,100,1,20,1,14,30,60,90,365,14,93,9,9,10,10,10,9,"f","f","flexible","f","f",2,0.46
"none","within an hour",1,1,"f","t","f","Jamaica Plain","t","Bed & Breakfast","Private room",2,"1","1",1,"Real Bed",55,350,3500,100,100,1,0,300,365,0,0,0,0,3,100,10,9,9,9,10,10,"f","f","flexible","f","f",1,0.06
"none","within a few hours",1,0.89,"t","t","t","Jamaica Plain","t","Apartment","Private room",2,"1","1",1,"Real Bed",80,1000,3500,100,100,1,0,2,8,0,8,26,301,57,99,10,10,10,10,10,10,"f","f","moderate","f","f",1,2.48
"none","within a day",0.7,0.85,"f","t","t","Jamaica Plain","t","House","Private room",2,"1","1",1,"Real Bed",120,1000,3500,100,100,1,0,2,1125,7,17,47,109,58,97,10,10,10,10,9,10,"f","f","flexible","f","f",1,2.36
"none","within a few hours",1,0.89,"t","t","t","Jamaica Plain","t","Apartment","Private room",2,"1","1",1,"Real Bed",65,1000,3500,100,100,1,0,1,1125,0,0,0,0,1,100,10,8,10,10,10,10,"f","f","flexible","f","f",4,0.07
"none","within an hour",1,1,"t","t","t","Jamaica Plain","t","Apartment","Private room",4,"1","1",2,"Real Bed",100,600,3500,100,100,2,20,2,14,1,3,3,23,46,97,10,10,10,10,9,10,"f","f","moderate","f","f",1,3.03
"none","within an hour",1,1,"t","t","f","Jamaica Plain","f","Apartment","Private room",1,"1","1",1,"Real Bed",65,400,3500,100,100,1,0,3,30,7,13,43,43,68,96,10,9,10,10,9,10,"f","f","moderate","f","f",1,4.29
"none","within a few hours",0.71,1,"f","t","t","Jamaica Plain","t","House","Private room",1,"1","1",1,"Real Bed",60,1000,3500,100,100,1,0,2,1125,5,35,65,340,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","a few days or more",0.36,0.93,"f","t","t","Jamaica Plain","t","Apartment","Private room",2,"1","1",1,"Real Bed",63,1000,3500,100,100,1,0,2,5,0,0,0,0,3,73,9,5,10,10,9,9,"f","f","flexible","f","f",1,2.73
"none","within a few hours",1,0.5,"f","t","f","Jamaica Plain","t","Townhouse","Private room",2,"1","1",1,"Real Bed",75,1000,3500,200,100,1,0,1,1125,0,0,0,250,4,100,9,10,10,9,10,9,"f","f","flexible","f","f",1,0.62
"none","within an hour",1,1,"f","t","f","Jamaica Plain","t","House","Private room",2,"1","1",1,"Real Bed",65,250,850,100,10,1,25,1,1125,0,0,0,0,2,90,9,9,9,9,10,9,"f","f","strict","f","f",1,0.16
"none","within a day",1,1,"f","t","t","Jamaica Plain","t","Apartment","Private room",1,"1","1",1,"Real Bed",110,500,1600,100,100,1,0,1,34,11,41,71,346,7,94,10,10,10,9,9,9,"f","f","strict","f","f",1,0.48
"none","within a few hours",0.73,1,"f","t","t","Jamaica Plain","t","House","Private room",2,"1","1",1,"Real Bed",46,210,1000,200,50,2,25,2,40,8,32,62,62,18,82,8,7,9,9,9,8,"f","t","strict","f","f",4,1.46
"none","within a day",0.6,0.6,"f","t","t","Jamaica Plain","t","Apartment","Private room",3,"1","1",1,"Real Bed",75,1000,3500,300,50,1,0,2,7,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","strict","f","f",2,1.97090844821492
"none","within an hour",1,1,"f","t","f","Jamaica Plain","t","Apartment","Private room",2,"1.5","1",1,"Real Bed",62,600,3500,150,25,2,50,3,10,0,0,0,0,9,98,10,10,10,10,10,10,"f","f","moderate","f","f",1,0.31
"none","within a day",1,0.25,"f","t","t","Jamaica Plain","t","Condominium","Private room",2,"1.5","1",1,"Real Bed",69,1000,3500,95,15,1,12,2,1125,0,12,15,15,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",2,1.97090844821492
"none","within an hour",1,1,"f","t","t","Jamaica Plain","t","Apartment","Private room",2,"1","1",1,"Real Bed",69,450,1500,100,20,1,15,2,29,0,0,0,0,4,100,10,10,10,10,10,10,"f","f","moderate","f","f",1,0.36
"none","within a day",0.5,1,"f","t","t","Jamaica Plain","t","House","Private room",2,"2","1",1,"Real Bed",73,450,1596,100,50,1,0,1,1125,0,0,0,78,19,99,10,9,10,10,9,10,"f","f","moderate","f","f",2,1.35
"none","within a few hours",1,0.75,"f","t","f","Jamaica Plain","t","Apartment","Private room",1,"1","1",1,"Real Bed",85,500,1200,100,100,1,20,2,180,0,1,31,306,22,99,10,10,10,10,10,10,"f","f","strict","f","f",1,0.36
"none","within a few hours",1,0.56,"t","t","t","Jamaica Plain","t","Apartment","Private room",2,"2","1",1,"Real Bed",120,900,2500,500,80,1,20,1,1125,4,32,62,337,17,96,9,10,10,10,10,9,"f","f","strict","f","f",4,0.41
"none","within a few hours",1,1,"f","t","t","Jamaica Plain","t","House","Private room",2,"3.5","1",2,"Real Bed",125,1000,3500,100,100,1,25,2,1125,30,60,90,365,1,100,10,10,10,10,10,10,"f","f","flexible","f","f",1,0.21
"none","within a day",0.6,0.88,"f","t","t","Jamaica Plain","t","Apartment","Private room",1,"1","1",1,"Pull-out Sofa",70,1000,3500,100,100,1,0,1,1125,28,58,88,363,7,93,10,9,10,10,10,9,"f","f","flexible","f","f",1,1.35
"none","within an hour",1,0,"f","t","f","Jamaica Plain","t","Condominium","Private room",2,"1","1",1,"Real Bed",100,1000,3500,95,10,1,0,1,3,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within a day",0.67,1,"f","t","t","Jamaica Plain","t","Condominium","Private room",2,"1","1",1,"Real Bed",61,360,1280,100,10,1,0,1,1125,0,0,0,255,7,97,10,10,10,10,10,10,"f","f","moderate","f","f",1,0.78
"none","within an hour",1,0.76,"f","t","t","Jamaica Plain","t","House","Private room",4,"1","1",2,"Real Bed",125,1000,3500,100,100,2,50,1,60,13,37,60,328,132,97,10,10,10,10,10,10,"f","f","strict","f","f",2,2.61
"none","within a few hours",1,1,"f","t","f","Jamaica Plain","t","Apartment","Private room",2,"1","1",1,"Real Bed",100,550,1500,100,100,1,0,1,1125,3,11,41,316,14,88,9,9,10,10,8,9,"f","f","flexible","f","f",1,0.35
"none","a few days or more",0.33,1,"f","t","t","Jamaica Plain","t","Apartment","Private room",1,"1","1",1,"Real Bed",27,1000,3500,100,5,1,0,1,1125,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within a few hours",0.9,0.92,"f","t","t","Jamaica Plain","t","Apartment","Private room",2,"1","1",1,"Real Bed",80,1000,3500,100,100,1,0,2,1125,0,0,0,0,12,98,10,9,10,10,10,10,"f","f","flexible","f","f",1,3.91
"none","within an hour",1,0.57,"f","t","t","Jamaica Plain","t","House","Private room",2,"1","1",1,"Real Bed",85,1000,3500,100,100,1,0,1,1125,30,60,90,365,3,100,10,10,10,10,9,9,"f","f","flexible","f","f",1,0.12
"none","within an hour",1,0.74,"f","t","f","Jamaica Plain","t","House","Private room",3,"1","1",2,"Real Bed",75,1000,3500,100,100,1,25,1,3,28,53,83,358,43,91,9,10,10,10,9,9,"f","f","flexible","f","f",1,1.83
"none","within a few hours",0.78,0.82,"f","t","t","Jamaica Plain","f","House","Private room",1,"1","1",1,"Real Bed",57,1000,3500,100,100,1,0,7,1125,6,36,66,341,1,20,10,10,10,10,2,6,"f","f","flexible","f","f",6,0.44
"none","within an hour",1,1,"f","t","t","Jamaica Plain","t","Apartment","Private room",2,"1","1",1,"Real Bed",100,1000,3500,100,100,1,0,1,1125,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","moderate","f","f",1,1.97090844821492
"none","within a day",0.86,1,"f","t","f","Jamaica Plain","t","Apartment","Private room",1,"1","1",1,"Real Bed",40,1000,3500,100,5,1,0,1,1125,0,4,34,309,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",1,1.97090844821492
"none","within a day",0.67,1,"f","t","t","Jamaica Plain","t","House","Private room",1,"1","1",1,"Real Bed",100,530,1600,100,100,1,0,4,1125,0,0,4,279,20,98,10,10,10,10,10,10,"f","f","strict","f","f",1,0.71
"none","within a day",1,0.56,"f","t","t","Jamaica Plain","t","House","Private room",2,"2.5","1",1,"Real Bed",70,420,1400,100,20,1,0,1,1125,14,28,58,333,9,93,10,10,10,10,9,10,"f","f","flexible","f","f",3,0.53
"none","within an hour",1,0.89,"t","t","t","Jamaica Plain","t","Apartment","Entire home/apt",4,"1","2",2,"Real Bed",190,1000,3500,100,100,2,15,4,1125,0,0,14,48,26,95,10,9,10,10,9,10,"f","f","moderate","f","f",1,1.43
"none","within a few hours",0.86,1,"f","t","t","Jamaica Plain","f","Apartment","Entire home/apt",3,"1","1",1,"Real Bed",149,950,3100,100,50,1,0,7,1125,0,28,58,333,17,95,9,9,10,10,10,10,"f","f","flexible","f","f",1,0.59
"none","within an hour",0.9,1,"f","t","t","Jamaica Plain","t","Apartment","Entire home/apt",6,"1","2",2,"Real Bed",168,1000,3528,200,120,1,0,3,1125,9,29,50,285,47,94,9,10,10,10,9,9,"f","f","moderate","f","f",1,2.57
"none","within a few hours",1,0.93,"f","t","t","Jamaica Plain","t","House","Entire home/apt",5,"2","3",4,"Real Bed",205,975,3500,100,50,1,0,2,1125,0,0,0,257,9,87,10,9,10,10,8,9,"f","f","moderate","f","f",2,0.7
"none","within a day",1,0.56,"f","t","t","Jamaica Plain","t","House","Private room",2,"2.5","1",1,"Real Bed",65,500,3500,100,15,1,0,1,1125,7,26,56,331,17,92,9,9,9,10,9,9,"f","f","flexible","f","f",3,1.32
"none","within a few hours",0.8,1,"f","t","t","Jamaica Plain","t","Apartment","Entire home/apt",2,"1","1",1,"Futon",75,1000,3500,100,18,1,0,1,1125,0,0,0,0,5,92,10,9,10,10,9,10,"f","f","flexible","f","f",1,1.5
"none","within an hour",1,1,"f","t","t","Jamaica Plain","t","Condominium","Entire home/apt",4,"1","2",4,"Real Bed",117,1000,3500,100,15,1,0,1,1125,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","t","flexible","f","f",1,1.97090844821492
"none","within an hour",1,1,"f","t","t","Jamaica Plain","t","Apartment","Entire home/apt",8,"2","4",6,"Real Bed",429,2699,7999,400,100,6,15,3,60,8,35,65,331,35,91,10,9,9,10,9,9,"f","f","strict","f","t",1,0.95
"none","within a day",0.9,0.62,"f","t","t","Jamaica Plain","t","Apartment","Private room",2,"1","1",1,"Real Bed",95,635,3500,100,100,1,10,2,1125,21,51,81,356,53,95,9,9,10,9,10,9,"f","f","flexible","f","f",1,1.32
"none","within a day",0.8,0.9,"f","t","t","Jamaica Plain","t","Apartment","Private room",2,"1","1",1,"Real Bed",69,1000,3500,100,20,1,0,1,7,0,0,0,0,0,91.9166666666667,9.43157132512672,9.25804119985544,9.64629294755877,9.64654860860137,9.41404270720232,9.16823444283647,"f","f","flexible","f","f",2,1.97090844821492
"none","within an hour",0.9,0.69,"f","t","t","Jamaica Plain","t","House","Private room",2,"1.22164659759171","1",1,"Real Bed",85,565,3500,100,100,1,0,1,1125,26,56,86,361,17,94,10,9,10,10,10,10,"f","f","moderate","f","f",1,0.43
"none","within a few hours",1,1,"t","t","t","Jamaica Plain","t","Apartment","Private room",2,"1","1",1,"Futon",69,450,1500,100,30,1,15,3,20,5,35,65,65,13,100,10,10,10,10,10,10,"f","f","strict","f","f",1,1.17
"none","within a few hours",1,0.77,"f","t","f","Jamaica Plain","t","House","Entire home/apt",2,"1","1",1,"Real Bed",165,980,2900,800,100,1,0,2,1125,0,0,1,276,9,93,9,10,10,10,10,9,"f","f","flexible","f","f",3,0.85
"none","within a few hours",1,1,"f","t","f","Jamaica Plain","t","Apartment","Entire home/apt",4,"1","2",2,"Real Bed",150,1000,3500,200,50,4,50,5,120,1,14,44,71,2,90,10,10,10,10,10,9,"f","f","flexible","f","f",1,1.67
